Date,Time,Card No,Name,Department
2016/11/20,07:35:27,0009236264,,
2016/11/20,07:35:46,0001210865,,
2016/11/20,07:44:36,0004237455,,
2016/11/20,07:44:37,0004237455,,
2016/11/20,07:55:55,0004234457,,
2016/11/20,07:56:50,0009228383,,
2016/11/20,07:58:55,0004227812,,
2016/11/20,07:59:57,0000953210,,
2016/11/20,08:01:35,0008377686,,
2016/11/20,08:01:38,0008377686,,
2016/11/20,08:02:03,0004228219,,
2016/11/20,08:07:07,0009221684,,
2016/11/20,08:10:27,0001190265,,
2016/11/20,08:15:56,0001202141,,
2016/11/20,08:19:52,0009233553,,
2016/11/20,08:20:21,0009248162,,
2016/11/20,08:23:58,0009241546,,
2016/11/20,08:24:00,0004244178,,
2016/11/20,08:24:39,0009239378,,
2016/11/20,08:25:59,0008373333,,
2016/11/20,08:34:31,0009236972,,
2016/11/20,08:42:21,0009229900,,
2016/11/20,08:44:43,0009234632,,
2016/11/20,08:48:13,0001136140,,
2016/11/20,09:12:35,0004247569,,
2016/11/20,09:24:17,0009245070,,
2016/11/20,17:35:27,0009236264,,
2016/11/20,17:35:46,0001210865,,
2016/11/20,17:44:36,0004237455,,
2016/11/20,17:44:37,0004237455,,
2016/11/20,17:55:55,0004234457,,
2016/11/20,17:56:50,0009228383,,
2016/11/20,17:58:55,0004227812,,
2016/11/20,17:59:57,0000953210,,
2016/11/20,18:01:35,0008377686,,
2016/11/20,18:01:38,0008377686,,
2016/11/20,18:02:03,0004228219,,
2016/11/20,18:07:07,0009221684,,
2016/11/20,18:10:27,0001190265,,
2016/11/20,18:15:56,0001202141,,
2016/11/20,18:19:52,0009233553,,
2016/11/20,18:20:21,0009248162,,
2016/11/20,18:23:58,0009241546,,
2016/11/20,18:24:00,0004244178,,
2016/11/20,18:24:39,0009239378,,
2016/11/20,18:25:59,0008373333,,
2016/11/20,18:34:31,0009236972,,
2016/11/20,18:42:21,0009229900,,
2016/11/20,18:44:43,0009234632,,
2016/11/20,18:48:13,0001136140,,
2016/11/20,19:12:35,0004247569,,
2016/11/20,09:24:17,0009245070,,
